,0,1
233,46726,80591
234,46726,13015
235,74576,70975
236,74576,2403
237,57901,35102
238,57901,11159
239,92043,62163
240,92043,66161
241,78130,17015
242,78130,6353
243,23647,22135
244,23647,99330
245,39258,63786
246,39258,86587
247,76629,7364
248,76629,35508
249,48614,68312
250,48614,26511
251,74736,93336
252,74736,73117
253,53027,51700
254,53027,96602
255,3713,83872
256,3713,12366
257,30339,94476
258,30339,6303
259,42197,18914
260,42197,76896
261,12539,25742
262,12539,99479
263,98095,70489
264,98095,13018
265,176,74158
266,176,15495
267,64956,98182
268,64956,11638
269,78307,33071
270,78307,25875
271,35035,5534
272,35035,53552
273,36894,84516
274,36894,95627
275,76017,34239
276,76017,95091
277,67036,27529
278,67036,44783
279,33179,7108
280,33179,5647
281,64085,4689
282,64085,12756
283,90506,33207
284,90506,78076
285,94079,68167
286,94079,50766
287,76441,85245
288,76441,56465
289,16146,3020
290,16146,57863
291,78399,13449
292,78399,7185
293,98044,19858
294,98044,35742
295,64045,96282
296,64045,28104
297,69444,94581
298,69444,89745
299,78862,68245
300,78862,55583
301,51492,24729
302,51492,42121
303,52349,28854
304,52349,67905
305,86079,69727
306,86079,8416
307,8001,35457
308,8001,19578
309,68750,78728
310,68750,3921
311,65764,65831
312,65764,23894
313,11419,72914
314,11419,57022
315,96644,16127
316,96644,15097
317,63154,34062
318,63154,43287
319,70397,56880
320,70397,60743
321,91046,50807
322,91046,26416
323,61274,33702
324,61274,18971
325,50678,96616
326,50678,29622
327,94118,18354
328,94118,96273
329,86774,29778
330,86774,38339
331,47673,58418
332,47673,63062
333,90792,50358
334,90792,65602
335,95791,76311
336,95791,47708
337,72442,83815
338,72442,23336
339,57730,81871
340,57730,43768
341,79566,28556
342,79566,82333
343,66349,96971
344,66349,20465
345,40521,48856
346,40521,2774
347,59808,74072
348,59808,27965
349,14628,14462
350,14628,3069
351,39820,90647
352,39820,34286
353,100,87423
354,100,96150
355,84844,15311
356,84844,39213
357,39890,94660
358,39890,27656
359,12930,78224
360,12930,6116
361,97979,79260
362,97979,60038
363,16870,15468
364,16870,69444
365,3928,73774
366,3928,98420
367,71245,29604
368,71245,64767
369,8289,4115
370,8289,71845
371,9118,95474
372,9118,24236
373,81768,83537
374,81768,43007
375,68242,332
376,68242,75351
377,65768,69551
378,65768,70383
379,94363,43655
380,94363,2885
381,34013,56776
382,34013,967
383,85632,60192
384,85632,95394
385,82706,74601
386,82706,38375
387,97089,45562
388,97089,66199
389,67999,15596
390,67999,54825
391,53542,95420
392,53542,95696
393,68609,83240
394,68609,22957
395,91136,10541
396,91136,72202
397,95660,35422
398,95660,1700
399,30395,59743
400,30395,52847
401,19822,11939
402,19822,95192
403,55325,82012
404,55325,44884
405,33630,13244
406,33630,52688
407,65277,17841
408,65277,10092
409,34563,89785
410,34563,30147
411,44890,25191
412,44890,30318
413,54001,61689
414,54001,77556
415,75838,6883
416,75838,89027
417,83931,54875
418,83931,34055
419,68010,44998
420,68010,5350
421,62369,27327
422,62369,66075
423,30318,44073
424,30318,84104
425,79479,1828
426,79479,36127
427,31117,79936
428,31117,5081
429,43267,5385
430,43267,88017
431,9623,56076
432,9623,77942
433,46206,72964
434,46206,26507
435,56408,26754
436,56408,33860
437,91586,41722
438,91586,42118
439,60171,75662
440,60171,69937
441,21279,11309
442,21279,98687
443,74921,20129
444,74921,45806
445,91523,76415
446,91523,71636
447,82519,14433
448,82519,26571
449,40257,44490
450,40257,18399
451,76116,5427
452,76116,90776
453,7556,50906
454,7556,88190
455,99775,77503
456,99775,67436
457,74219,50060
458,74219,32540
459,82223,38687
460,82223,57227
461,35247,18834
462,35247,97581
463,52390,76620
464,52390,18340
465,89160,18609
466,89160,82030
467,16586,25326
468,16586,82900
469,24065,73452
470,24065,40569
471,69983,31335
472,69983,8180
473,55163,11416
474,55163,86881
475,73389,65098
476,73389,76114
477,91965,86312
478,91965,16555
479,98094,23300
480,98094,1890
481,11616,56809
482,11616,51364
483,3651,99560
484,3651,66887
485,56582,24345
486,56582,21715
487,70915,65516
488,70915,2347
489,16041,9734
490,16041,84192
491,22628,18801
492,22628,23536
493,21140,29451
494,21140,97499
495,24595,62741
496,24595,61797
497,2015,36089
498,2015,45925
499,1063,3888
500,1063,97937
501,81810,77997
502,81810,16566
503,16744,13755
504,16744,61810
505,63875,39675
506,63875,56
507,55449,9640
508,55449,63554
509,93756,90248
510,93756,1183
511,90763,82106
512,90763,91684
513,92265,40820
514,92265,65653
515,12362,38693
516,12362,50046
517,31981,30982
518,31981,28659
519,33177,12052
520,33177,10856
521,64602,23890
522,64602,45498
523,95085,34980
524,95085,94547
525,22509,79493
526,22509,43252
527,16043,40439
528,16043,23895
529,75290,30009
530,75290,22558
531,50374,62026
532,50374,71078
533,67572,77457
534,67572,5812
535,37055,2129
536,37055,53293
537,77186,986
538,77186,63800
539,32544,66456
540,32544,88320
541,1878,55539
542,1878,1717
543,65126,74623
544,65126,42776
545,72092,25589
546,72092,58599
547,17712,18397
548,17712,91380
549,81039,65961
550,81039,97796
551,87476,1233
552,87476,36717
553,18375,54720
554,18375,18477
555,29494,28073
556,29494,41947
557,46210,81081
558,46210,55156
559,12351,75602
560,12351,28552
561,11352,4318
562,11352,95135
563,16030,13765
564,16030,77035
565,3390,72578
566,3390,13820
567,603,3675
568,603,33425
569,11827,60292
570,11827,29873
571,1123,47671
572,1123,7076
573,3924,147
574,3924,49809
575,66402,85688
576,66402,17121
577,36832,93172
578,36832,73570
579,76131,18054
580,76131,81749
581,51106,41586
582,51106,28895
583,24644,79314
584,24644,47782
585,66351,64663
586,66351,50750
587,34515,66690
588,34515,44343
589,3572,30230
590,3572,64088
591,66200,70226
592,66200,91670
593,63804,10114
594,63804,54418
595,47248,99454
596,47248,47585
597,4931,33388
598,4931,98256
599,41894,45685
600,41894,89146
601,88223,22191
602,88223,93529
603,76945,69275
604,76945,17545
605,18520,92614
606,18520,81053
607,1440,67069
608,1440,86846
609,39405,28535
610,39405,23325
611,72571,21696
612,72571,16049
613,4506,96302
614,4506,59445
615,38221,45701
616,38221,11744
617,82852,93679
618,82852,35622
619,62826,26452
620,62826,12315
621,24567,95497
622,24567,36062
623,4682,13290
624,4682,50322
625,88024,45997
626,88024,92197
627,33791,24191
628,33791,88510
629,29446,99728
630,29446,14796
631,67233,89308
632,67233,78971
633,17152,51810
634,17152,54572
635,730,91797
636,730,28899
637,28928,90694
638,28928,19343
639,88004,39343
640,88004,83887
641,65514,7086
642,65514,63086
643,88301,78527
644,88301,44762
645,74357,38631
646,74357,63175
647,32837,8707
648,32837,79639
649,59049,94561
650,59049,73663
651,91793,16876
652,91793,21522
653,43083,1372
654,43083,82886
655,97338,16987
656,97338,88590
657,22601,84283
658,22601,52591
659,27898,38409
660,27898,219
661,56149,36334
662,56149,82570
663,95637,32542
664,95637,45753
665,39483,89645
666,39483,87316
667,94070,2801
668,94070,2494
669,92752,69989
670,92752,37489
671,95205,51403
672,95205,86050
673,73840,7955
674,73840,86642
675,38673,89562
676,38673,24909
677,78668,80239
678,78668,62006
679,72782,71720
680,72782,1
681,50761,87589
682,50761,2647
683,68023,88920
684,68023,46874
685,27107,50311
686,27107,69082
687,61416,60288
688,61416,29824
689,18525,92009
690,18525,64372
691,26202,95838
692,26202,84257
693,34548,67979
694,34548,61592
695,48464,54662
696,48464,43959
697,18987,64730
698,18987,17605
699,2539,8980
700,2539,95214
701,16362,43752
702,16362,40474
703,97400,52917
704,97400,87034
705,35559,74504
706,35559,23678
707,49787,26246
708,49787,74361
709,27738,40791
710,27738,58866
711,58043,30263
712,58043,6119
713,65166,42607
714,65166,72433
715,63997,18181
716,63997,11850
717,20717,59662
718,20717,26971
719,24530,19534
720,24530,12513
721,21174,22147
722,21174,9518
723,68030,25437
724,68030,10353
725,55286,24170
726,55286,11680
727,17904,11463
728,17904,19348
729,86545,21139
730,86545,53365
731,95763,88593
732,95763,68791
733,18922,69042
734,18922,28870
735,27319,29917
736,27319,59999
737,61270,49405
738,61270,17913
739,1064,96236
740,1064,72500
741,8424,67348
742,8424,49159
743,59672,24800
744,59672,52040
745,51066,67605
746,51066,30404
747,44848,96963
748,44848,65774
749,22633,81116
750,22633,96108
751,25923,24700
752,25923,24746
753,58240,61985
754,58240,55430
755,51783,53767
756,51783,85656
757,33131,22279
758,33131,21576
759,75249,43076
760,75249,45350
761,49394,24096
762,49394,36249
763,87771,203
764,87771,23397
765,404,1028
766,404,79261
767,93575,73623
768,93575,2136
769,82483,97422
770,82483,95076
771,78096,60196
772,78096,93763
773,28374,3870
774,28374,51350
775,58341,89550
776,58341,1348
777,75198,79323
778,75198,55047
779,64511,7538
780,64511,44145
781,44038,65006
782,44038,25871
783,25136,50217
784,25136,85652
785,88199,8201
786,88199,8474
787,46518,50461
788,46518,62196
789,71787,6735
790,71787,12164
791,68974,40140
792,68974,12879
793,75307,2955
794,75307,40132
795,12176,70828
796,12176,21986
797,62030,62209
798,62030,65230
799,49856,1231
800,49856,45959
801,64466,65220
802,64466,34111
803,668,97745
804,668,69254
805,57709,64511
806,57709,99790
807,52400,34359
808,52400,83440
809,94833,79333
810,94833,87483
811,65415,8396
812,65415,41783
813,80057,86080
814,80057,11884
815,73422,67554
816,73422,91581
817,86874,87628
818,86874,99777
819,94159,96042
820,94159,22641
821,16466,5144
822,16466,56312
823,6549,37851
824,6549,62156
825,92525,39946
826,92525,24045
827,40627,80725
828,40627,21036
829,27531,17211
830,27531,48842
831,88177,58894
832,88177,75223
833,4465,81670
834,4465,56900
835,99189,52825
836,99189,23820
837,47856,21284
838,47856,58923
839,83694,93086
840,83694,7542
841,54379,13772
842,54379,7734
843,47454,71325
844,47454,27253
845,87096,34964
846,87096,54855
847,3469,23017
848,3469,50069
849,99254,5092
850,99254,14391
851,4630,88189
852,4630,45252
853,75878,86704
854,75878,20341
855,21776,67946
856,21776,14489
857,92781,8924
858,92781,19496
859,23060,36636
860,23060,83048
861,89587,69846
862,89587,22280
863,18346,61632
864,18346,89562
865,47867,28812
866,47867,46746
867,41004,21710
868,41004,85038
869,13430,76818
870,13430,41959
871,381,28599
872,381,82403
873,8755,6105
874,8755,22469
875,58832,46408
876,58832,51181
877,92450,22376
878,92450,57489
879,64821,6649
880,64821,48261
881,84642,48896
882,84642,7445
883,2105,50591
884,2105,1288
885,17305,36550
886,17305,24433
887,60154,86879
888,60154,83055
889,77752,90943
890,77752,51802
891,39994,33426
892,39994,45736
893,30257,48080
894,30257,81184
895,60804,31070
896,60804,63524
897,8060,84057
898,8060,43446
899,83168,95892
900,83168,39750
901,81281,13212
902,81281,73574
903,29319,62754
904,29319,14877
905,84291,60553
906,84291,96824
907,2134,14829
